메디올,샴푸,메디올 메디올 두피청정샴푸 480ml,480,12660,,쉐어버터 글리세린 아보카도오일 콩추출물 판테놀,건성탈모약산성민감성,,보습력 증가수분 증발 방지탈모 억제 효과컨디셔닝피부 보습효과탈모량 감소모발 두께 증가,https://thumbnail6.coupangcdn.com/thumbnails/remote/492x492ex/image/vendor_inventory/fac7/1418a82b57bd11a197fabfe8d8957df9b6379a5fc3d73709dbee86a46311.jpg
메디올,샴푸,메디올 두피청정 샴푸 힐링부케 800ml,800,39090,,,탈모,,,https://thumbnail10.coupangcdn.com/thumbnails/remote/492x492ex/image/vendor_inventory/faa3/c1b9a0b8167517d2dc5983f523253a93239c0b798a8b4759d2335ea6ff42.jpg
메디올,샴푸,메디올 두피청정 샴푸 후레쉬 시트러스 800ml,800,39060,,,탈모,,,https://thumbnail10.coupangcdn.com/thumbnails/remote/492x492ex/image/vendor_inventory/faa3/c1b9a0b8167517d2dc5983f523253a93239c0b798a8b4759d2335ea6ff42.jpg
닥터그루트,샴푸,닥터그루트 라임바질 앤 만다린 애딕트 샴푸 680ml,680,26600,살리실산 녹차추출물 멘톨,글리세린 소디움PCA 판테놀,지성쿨링효과탈모약산성,피지 조절수렴 및 진정비듬 제거쿨링 효과,보습력 증가강력보습컨디셔닝피부 보습효과탈모량 감소모발 두께 증가,https://thumbnail8.coupangcdn.com/thumbnails/remote/492x492ex/image/vendor_inventory/cdd5/f23f2ff7359cbc341ca281a46703ad5d9540b1c9e447bb1b1f4b536d00f9.png
닥터그루트,샴푸,닥터그루트 마이크로바이옴 샴푸 200ml,200,14000,살리실산 녹차추출물 멘톨,글리세린 부틸렌글라이콜 소디움PCA 캐모마일꽃수 판테놀,지성쿨링효과탈모민감성,피지 조절수렴 및 진정비듬 제거쿨링 효과,보습력 증가강력보습컨디셔닝피부 보습효과탈모량 감소모발 두께 증가,https://thumbnail10.coupangcdn.com/thumbnails/remote/492x492ex/image/vendor_inventory/f567/33bd087fb4e461f14dfbc890729c457b457823ea9329c58b9417023f046f.jpg
닥터그루트,샴푸,닥터그루트 프로비오틴 힘없는 모발용 샴푸 400ml,400,20760,살리실산 녹차추출물 멘톨,글리세린 부틸렌글라이콜 소디움PCA 판테놀,지성쿨링효과탈모,피지 조절수렴 및 진정비듬 제거쿨링 효과,보습력 증가강력보습컨디셔닝피부 보습효과탈모량 감소모발 두께 증가,https://thumbnail10.coupangcdn.com/thumbnails/remote/492x492ex/image/vendor_inventory/f4e2/c7946fe2560d4e6230e739179b330017d3a10db32a599482323568955d23.jpg
닥터그루트,샴푸,닥터그루트 비듬각질 딥클렌징 샴푸 400ml,400,17100,살리실산 녹차추출물 멘톨,글리세린 부틸렌글라이콜 소디움PCA 판테놀,지성쿨링효과탈모,피지 조절수렴 및 진정비듬 제거쿨링 효과,보습력 증가강력보습컨디셔닝피부 보습효과탈모량 감소모발 두께 증가,https://thumbnail7.coupangcdn.com/thumbnails/remote/492x492ex/image/vendor_inventory/5857/1467ca35f0673ffb8e1b2842ed862117950972e14d36ea9686718efc07bd.jpg
닥터그루트,샴푸,닥터그루트 애딕트 자스민 샴푸 680ml,680,32310,살리실산 녹차추출물 멘톨,글리세린 부틸렌글라이콜 소디움PCA 판테놀,지성쿨링효과탈모,피지 조절수렴 및 진정비듬 제거쿨링 효과,보습력 증가강력보습컨디셔닝피부 보습효과탈모량 감소모발 두께 증가,https://thumbnail7.coupangcdn.com/thumbnails/remote/492x492ex/image/vendor_inventory/489b/1b0d59166910329c3fe7321e8e86885cc61bbf187548239856c287fba601.jpg
닥터그루트,샴푸,닥터그루트 지성두피용 샴푸 870ml,870,32950,살리실산 녹차추출물 멘톨,글리세린 부틸렌글라이콜 소디움PCA 판테놀,지성쿨링효과탈모,피지 조절수렴 및 진정비듬 제거쿨링 효과,보습력 증가강력보습컨디셔닝피부 보습효과탈모량 감소모발 두께 증가,https://thumbnail9.coupangcdn.com/thumbnails/remote/492x492ex/image/vendor_inventory/0809/8396a28f8ca4647fe4fc37fd5745bd5aef06e99ece79c9c963221ecb29af.jpg
닥터그루트,샴푸,닥터그루트 마이크로바이옴 샴푸 400ml,400,13000,살리실산 녹차추출물 멘톨,글리세린 부틸렌글라이콜 소디움PCA 캐모마일꽃수 판테놀,지성쿨링효과탈모민감성,피지 조절수렴 및 진정비듬 제거쿨링 효과,보습력 증가강력보습습윤컨디셔닝피부 보습효과탈모량 감소모발 두께 증가,https://thumbnail10.coupangcdn.com/thumbnails/remote/492x492ex/image/vendor_inventory/f567/33bd087fb4e461f14dfbc890729c457b457823ea9329c58b9417023f046f.jpg
